Id,Name
Abkhazia,Abkhazia
Afghanistan,Afghanistan
Albania,Albania
Alderney,Alderney
Algeria,Algeria
Ambazonia,Ambazonia
American Samoa,American Samoa
Andalusia,Andalusia
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Arameans Suryoye,Arameans Suryoye
Argentina,Argentina
Armenia,Armenia
Artsakh,Artsakh
Aruba,Aruba
Asturias,Asturias
Australia,Australia
Austria,Austria
Aymara,Aymara
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barawa,Barawa
Barbados,Barbados
Basque Country,Basque Country
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Biafra,Biafra
Bolivia,Bolivia
Bonaire,Bonaire
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Brittany,Brittany
Brunei,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burma,Burma
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Canary Islands,Canary Islands
Cape Verde,Cape Verde
Cascadia,Cascadia
Catalonia,Catalonia
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Central Spain,Central Spain
Chad,Chad
Chagos Islands,Chagos Islands
Chameria,Chameria
Chechnya,Chechnya
Chile,Chile
China,China
China PR,China PR
Cilento,Cilento
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Cook Islands,Cook Islands
Corsica,Corsica
Costa Rica,Costa Rica
County of Nice,County of Nice
Crimea,Crimea
Croatia,Croatia
Cuba,Cuba
Curaçao,Curaçao
Cyprus,Cyprus
Czech Republic,Czech Republic
Czechoslovakia,Czechoslovakia
DR Congo,DR Congo
Darfur,Darfur
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Donetsk PR,Donetsk PR
Délvidék,Délvidék
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Elba Island,Elba Island
Ellan Vannin,Ellan Vannin
England,England
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Falkland Islands,Falkland Islands
Faroe Islands,Faroe Islands
Felvidék,Felvidék
Fiji,Fiji
Finland,Finland
France,France
Franconia,Franconia
French Guiana,French Guiana
Frøya,Frøya
Gabon,Gabon
Galicia,Galicia
Gambia,Gambia
Georgia,Georgia
German DR,German DR
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Gotland,Gotland
Gozo,Gozo
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Găgăuzia,Găgăuzia
Haiti,Haiti
Hitra,Hitra
Hmong,Hmong
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Iraqi Kurdistan,Iraqi Kurdistan
Isle of Man,Isle of Man
Isle of Wight,Isle of Wight
Israel,Israel
Italy,Italy
Ivory Coast,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Jordan,Jordan
Kabylia,Kabylia
Kazakhstan,Kazakhstan
Kenya,Kenya
Kernow,Kernow
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Kárpátalja,Kárpátalja
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luhansk PR,Luhansk PR
Luxembourg,Luxembourg
Macau,Macau
Madagascar,Madagascar
Madrid,Madrid
Malawi,Malawi
Malaya,Malaya
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Manchukuo,Manchukuo
Mapuche,Mapuche
Martinique,Martinique
Matabeleland,Matabeleland
Maule Sur,Maule Sur
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Menorca,Menorca
Mexico,Mexico
Micronesia,Micronesia
Moldova,Moldova
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
North Korea,North Korea
North Macedonia,North Macedonia
North Vietnam,North Vietnam
Northern Cyprus,Northern Cyprus
Northern Ireland,Northern Ireland
Northern Mariana Islands,Northern Mariana Islands
Norway,Norway
Occitania,Occitania
Oman,Oman
Orkney,Orkney
Padania,Padania
Pakistan,Pakistan
Palau,Palau
Palestine,Palestine
Panama,Panama
Panjab,Panjab
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Parishes of Jersey,Parishes of Jersey
